"id";"direccion";"numero";"num_plazas";"observacion";"latitud";"longitud"
0;"CALLE ESCRITOR MIGUEL TORO";"7";3;"";37.15383690842931;-3.606697353309716
1;"CALLE COSTA RICA";"16";1;"";37.15460750668998;-3.603196729204139
2;"CALLE SANTA ADELA";"FRENTE 45";2;"";37.15405225534883;-3.59920604172359
3;"CALLE TORRE DE COMARES";"FRENTE 7";3;"";37.15188679689119;-3.595193668329527
4;"CALLE URUGUAY";"43";1;"QUINCENAL";37.15173717960425;-3.601843182561146
5;"CALLE URUGUAY";"50";1;"QUINCENAL";37.15173858917186;-3.601885198302605
6;"CALLE SOL Y LUNA";"31";1;"";37.15586972374701;-3.602579357137846
7;"AVENIDA DE DILAR";"58";2;"";37.15569962628765;-3.600551546922064
8;"CALLE NAVARRA";"37";1;"";37.15648640802699;-3.599617056883421
9;"CALLE POETA GRACIAN";"7";1;"";37.15355958340836;-3.598930863010477
10;"CALLE MERCEDES GAIBROIS";"39";6;"";37.15626968486453;-3.589523282371776
11;"CALLE TORRE DE LOS PICOS";"13";2;"";37.15551370705533;-3.591311762211276
12;"CALLE TORRE DE LA POLVORA";"6";2;"";37.15340447861467;-3.59144432614942
13;"CALLE TORRE PEDRO DE MORALES";"S/N";4;"";37.1565960538493;-3.592679966345409
14;"CALLE DOCTOR ALEJANDRO OTERO";"8";3;"";37.16372375988296;-3.60802262811833
15;"CALLE POETA MANUEL GONGORA";"8";4;"";37.16630972648699;-3.595067968464703
16;"CALLE GONZALO JIMENEZ DE QUESADA";"2";1;"";37.1634189446717;-3.600220439367029
17;"CALLE ANDREA NAVAGIERO";"4";1;"ENTRADA URGENCIAS Y MINUSVALIDOS";37.1636063250799;-3.599386090916447
18;"CAMINO REAL DE LOS NEVEROS";"10";2;"";37.16238834937933;-3.586133373077089
19;"CARRETERA DE LA SIERRA";"18";1;"";37.16700687721792;-3.587265199797203
20;"CALLE PRIMAVERA";"25";1;"";37.16241749043677;-3.594126067944111
21;"CALLE VIRGEN DE LORETO";"26";1;"";37.16336368967445;-3.593694554776703
22;"CALLE EL PURCHE";"2";2;"";37.16651184588629;-3.587060319239984
23;"AVENIDA DE CERVANTES";"27";1;"";37.16396378747411;-3.587854714361815
24;"CALLE LAGUNA DE LAS YEGUAS";"2";1;"";37.16625538244672;-3.58636980291606
25;"CALLE SANTO SEPULCRO DE LA QUINTA";"1";1;"";37.16610413046389;-3.589681318982682
26;"CALLE BEETHOVEN";"FRENTE 3";1;"";37.15707321810948;-3.603638421338089
27;"AVENIDA DE DILAR";"32";1;"";37.15779490643016;-3.600094997104847
28;"AVENIDA DE DILAR";"31";2;"";37.15919877251537;-3.599788044516411
29;"CALLE PINTOR MANUEL MALDONADO";"3";2;"";37.15823983948221;-3.59615841769364
30;"CALLE PINTOR MANUEL MALDONADO";"3";2;"";37.15837839441205;-3.596138670541113
31;"CALLE MARGARITA XIRGU";"1";1;"";37.15812434054686;-3.598475615164757
32;"CALLE PALENCIA";"23";1;"";37.15978684534586;-3.595544710629924
33;"AVENIDA DE ITALIA";"2";2;"";37.16057654674394;-3.597038244025638
34;"AVENIDA DON BOSCO";"15";1;"";37.15968527648896;-3.601477653059001
35;"AVENIDA DE BARCELONA";"16";2;"";37.16140188962164;-3.601784197880765
36;"CALLE JARDIN DE DARAJA";"13";1;"";37.15826278582064;-3.589812995041656
37;"CAMINO BAJO DE HUETOR";"61";1;"";37.15761055705709;-3.587206594819409
38;"CALLE PRIMAVERA";"26";2;"";37.16176385329517;-3.591170218576941
39;"CALLE POETA CESAR VALLEJO";"11";2;"";37.15879515998783;-3.591642079399853
40;"CALLE FONTIVEROS";"29";3;"";37.16133103814202;-3.593493159910462
41;"CALLE TORRE DEL CAPITAN";"12";1;"";37.15864027074886;-3.586012870964701
42;"CALLE LAGUNA DE AGUAS VERDES";"7";1;"";37.1593755975376;-3.583568407582327
43;"CALLE OBISPO HURTADO";"1";3;"";37.1755874139898;-3.604087642613998
44;"CALLE MALAGA";"4";3;"";37.17725029143126;-3.602356140055726
45;"PLAZA DE LA TRINIDAD";"FRENTE 4";2;"";37.1758554297187;-3.601899548663998
46;"CALLE PLEGADERO BAJO";"2";1;"EXCEPTO VEHICULOS DE MINUSVALIDOS Y SANITARIOS";37.17325795359677;-3.590916596219091
47;"CALLE SANTA AURELIA";"5";1;"";37.16788565907407;-3.602075621847781
48;"CUESTA DEL PROGRESO";"9";2;"";37.17242835327906;-3.596295740869334
49;"PASEO DE LOS BASILIOS";"0,083333333333";2;"";37.16818044526361;-3.595457707365712
50;"CALLE GENERAL NARVAEZ";"1";2;"";37.17173548928309;-3.603350955908022
51;"CALLE ALHAMAR";"27";1;"";37.16896431299285;-3.602193882798151
52;"PASEO DEL SALON";"2";2;"";37.16967752640019;-3.595398820354405
53;"CALLE CARRERA DE LA VIRGEN";"42";2;"";37.17024011859412;-3.596919707091814
54;"CALLE PINTOR ZULOAGA";"14";2;"";37.16886619811139;-3.60241533998158
55;"PLAZA DE MARIANA PINEDA";"10";1;"";37.17214787571366;-3.597381445542019
56;"CALLE MULHACEN";"10";1;"";37.16923140594268;-3.60148142048687
57;"PLAZA DE BIBATAUBIN";"FRENTE 1";3;"";37.17169447665646;-3.59764844591537
58;"CALLE SANTIAGO";"36";3;"DE 9:00 A 15:00";37.17109070757707;-3.591964870713363
59;"CALLE DOCTOR GUIRAO GEA";"6";3;"";37.18756233330062;-3.606519638099403
60;"AVENIDA DE ANDALUCES";"18";2;"";37.1841413810646;-3.608797905695079
61;"CAMINO DE RONDA";"146";1;"";37.17815103494418;-3.610583275747821
62;"CAMINO DE RONDA";"170";1;"";37.18044566596714;-3.611980182674145
63;"CALLE CAÑAVERAL";"FRENTE 24";3;"";37.17904056198226;-3.613847123239836
64;"CALLE CAÑAVERAL";"1";1;"";37.17814705877906;-3.611198210721131
65;"CALLE GONZALO GALLAS";"33";2;"";37.18143334566156;-3.61178558834099
66;"CALLE SANTO TOMAS DE VILLANUEVA";"17";2;"";37.18023812584064;-3.615178250509049
67;"CALLE CAÑAVERAL";"FRENTE 26";4;"LABORABLES DE 12:00 A 15:00";37.17911030923886;-3.614060376753117
68;"CAMINO DE RONDA";"182";1;"";37.18226265394284;-3.613074996848332
69;"AVENIDA CAPITAN MORENO";"3";1;"";37.18321533588784;-3.600399147083377
70;"CALLE DOCTOR GUIRAO GEA";"FRENTE 11";4;"";37.18577910216507;-3.604325577643154
71;"CALLE CRISTO DE LA YEDRA";"60";1;"";37.18738510252122;-3.600210518745494
72;"CALLE SAN JUAN DE DIOS";"54";2;"";37.18266058767781;-3.602343078886745
73;"CALLE SAN JUAN DE DIOS";"19";2;"";37.18114476679457;-3.602631055062938
74;"CALLE SAN JUAN DE DIOS";"16";1;"";37.18041128276948;-3.602651030411882
75;"CALLE SANTA LUCIA";"16";2;"";37.18107568177938;-3.600236897177651
76;"PLACETA RADIO GRANADA";"1";1;"";37.17774264294156;-3.599863353449547
77;"PLACETA DE SAN MIGUEL BAJO";"8";1;"DE 11:00 A 8:00 RESTO DE HORAS CARGA Y DESCARGA";37.18054286038042;-3.596804913096954
78;"CALLE GRAN CAPITAN";"18";2;"";37.17779137417791;-3.60493226568534
79;"CALLE MATILDE DIAZ";"6";1;"";37.18856467065788;-3.627127079635543
80;"CALLE VIRGEN DE LA CONSOLACION";"12";2;"";37.19223013763527;-3.627329988770009
81;"CARRETERA DE MALAGA";"83";1;"";37.18936406222644;-3.62712163046134
82;"AVENIDA JUAN PABLO II";"FRENTE 5 A";3;"";37.19341323163035;-3.608160750386756
83;"CALLE CURRO CUCHARES";"15";4;"";37.19496039915401;-3.611982759262718
84;"AVENIDA FEDERICO GARCIA LORCA";"4";1;"";37.19823482413138;-3.615278184771069
85;"AVENIDA JUAN PABLO II";"0,20833333333";4;"";37.19334529296654;-3.608401667424916
86;"CALLE DOCTOR AZPITARTE";"FRENTE 12";4;"";37.18938105763592;-3.610604892213353
87;"CALLE DOCTOR AZPITARTE";"4";2;"";37.18890242584755;-3.609006001058741
88;"AVENIDA DE MADRID";"28";2;"";37.18917452576422;-3.605330238749293
89;"CALLE RIBERA DEL BEIRO";"8";4;"";37.1897132201613;-3.610885970334453
90;"CALLE GARCIA MORATO";"19";2;"";37.19018784969464;-3.601738631555634
91;"CALLE ISLA DE LA GOMERA";"S/N";5;"";37.20052327391336;-3.620993094857425
92;"CALLE RIGOBERTA MENCHU";"6";1;"";37.20682570355245;-3.595654939976221
93;"CALLE RONDA DE ALFAREROS";"8";4;"";37.19846867840002;-3.597724647185804
94;"CALLE JAVIER TORTOSA";"FRENTE 19";2;"";37.16310123716516;-3.554574101410221
95;"PASEO DE LOS MARTIRES";"9";1;"";37.17268652497074;-3.587398446873465
96;"PASEO DE LOS MARTIRES";"9";1;"";37.17260611213172;-3.587509229620028
99;"PLAZA POETA GARCILASO DE LA VEGA";"11";1;"";37.20076622900356;-3.607968294800401
100;"CALLE FRIBURGO";"FRENTE 5";1;"";37.19727346464472;-3.608111915902756
101;"CALLE JOAQUINA EGUARAS";"S/N";4;"";37.19844681590586;-3.607109097550659
